"gene"	"ncpgs_orig"	"ncpgs"	"treatment.ratio"	"converged"	"p.value.treatment"	"p.value.inter"	"adj.p.value.treatment"	"adj.p.value.inter"
"SpisGene1"	64	64	1	1	1	1	1	1
"SpisGene2"	27	27	1.15228254661603	1	0.00127703150172311	0.000141112371022736	0.0119932738153351	0.00549905860458651
"SpisGene3"	111	110	1	1	1	1	1	1
"SpisGene4"	156	155	1.03351402367895	1	0.000150744424714203	1	0.00243647836464019	1
"SpisGene5"	181	171	1.05912037554638	1	1.49842328343109e-07	1.91201262885384e-16	9.38165357456685e-06	1.17716244183102e-13
"SpisGene6"	39	39	0.927517214762004	1	0.512515745848549	2.51388061712141e-05	1	0.00132032345966538
"SpisGene8"	96	85	1.05573378533175	1	2.16822316994579e-05	1	0.000528093388337125	1
"SpisGene12"	30	30	1	1	1	1	1	1
"SpisGene14"	126	126	1	1	1	1	1	1
"SpisGene15"	48	44	1.08278133483774	1	0.00328790261687027	1	0.0237098960657799	1
"SpisGene19"	54	54	1	1	1	1	1	1
"SpisGene20"	181	168	1.01828693433265	1	0.0721611112904131	1	0.217012058431576	1
"SpisGene21"	52	52	1.04061988520643	1	0.000827894450842774	1	0.00879647776053655	1
"SpisGene22"	205	202	1.02412418083593	1	0.0265489986814136	1	0.106023785004478	1
"SpisGene23"	95	89	1.03663093950032	1	3.99474443501105e-05	1	0.000854628529513368	1
"SpisGene24"	109	109	1	1	1	1	1	1
"SpisGene25"	8	8	1	1	1	1	1	1
"SpisGene26"	25	23	1.04492495426879	1	0.194136568328369	1	0.461079787911976	1
"SpisGene27"	59	59	1.04740638111707	1	0.00625880318216369	1	0.0372288977663354	1
"SpisGene28"	155	151	1.01862228776395	1	0.66847127937487	1	1	1
"SpisGene29"	78	78	1	1	1	1	1	1
"SpisGene30"	127	123	1.01559661892268	1	0.0696121406444721	1	0.212226063995059	1
"SpisGene31"	451	450	1.01828811451435	1	8.14573262111089e-06	1	0.000249367427920306	1
"SpisGene33"	60	60	1.08130713952557	1	1.28725236306327e-08	1	1.13216910217993e-06	1
"SpisGene34"	63	57	1.05215032680192	1	0.109448707287736	1	0.294395770427838	1
"SpisGene40"	121	121	1.03749785066369	1	0.00556888192287928	1	0.0343429880185577	1
"SpisGene43"	146	146	1.02883795209605	1	0.0123621917663191	1	0.0614891423493486	1
"SpisGene44"	106	104	1	1	1	1	1	1
"SpisGene48"	40	30	0.888920230619074	1	4.96569896517129e-05	1	0.00102654036316504	1
"SpisGene50"	60	59	1.12014943166994	1	0.000461428559456787	5.92431982918986e-08	0.00569437783507808	6.69931758643694e-06
"SpisGene51"	59	59	1	1	1	1	1	1
"SpisGene52"	278	278	1.01480483705253	1	0.00377881794212693	1	0.0261730377716567	1
"SpisGene53"	30	28	1	1	1	1	1	1
"SpisGene54"	269	264	1.02273038428714	1	0.000116458631643095	1	0.00200092179204462	1
"SpisGene55"	25	24	0.921686157994682	1	0.0306645686170228	0.000283709286863782	0.117114969342786	0.0102080075228066
"SpisGene56"	140	139	1.0225052836089	1	0.0285925885183308	1	0.111807715582266	1
"SpisGene59"	34	32	1	1	1	1	1	1
"SpisGene61"	55	53	1.04411849403989	1	0.00182093957281301	1	0.0155059768959077	1
"SpisGene63"	115	113	1	1	1	1	1	1
"SpisGene64"	76	76	0.982882330651997	1	0.0401366384316283	1	0.141339125230157	1
"SpisGene65"	83	81	1.04339011734227	1	0.000100589621603138	1	0.00179344700025881	1
"SpisGene67"	16	15	1	1	1	1	1	1
"SpisGene68"	329	328	0.986272370941349	1	0.00235839736540491	1	0.0187084893367338	1
"SpisGene69"	18	18	1	1	1	1	1	1
"SpisGene72"	39	39	1	1	1	1	1	1
"SpisGene74"	14	14	1.16570102988183	1	0.000659977914457961	1	0.0074479381344431	1
"SpisGene79"	75	74	0.980110268828939	1	0.172622279492754	1	0.417503295796311	1
"SpisGene80"	23	23	1	1	1	1	1	1
"SpisGene81"	123	119	1.02120233225926	1	0.0789834951199531	1	0.231743471781658	1
"SpisGene83"	63	58	1	1	1	1	1	1
"SpisGene85"	73	68	0.89204847133835	1	0.00255060508977227	1	0.0199105831253809	1
"SpisGene86"	80	80	1	1	1	1	1	1
"SpisGene87"	17	14	0.963823420197037	1	0.52128595971783	0.00645937569942966	1	0.154273279097154
"SpisGene88"	39	38	1	1	1	1	1	1
"SpisGene90"	26	26	1.27245190111143	1	1.21743987584872e-08	1	1.09688363448419e-06	1
"SpisGene91"	57	57	0.980035294982276	1	0.276162322433233	1	0.620777050143019	1
"SpisGene93"	86	84	0.977812438583022	1	0.0153631915151526	1	0.071195314342925	1
"SpisGene94"	191	190	1	1	1	1	1	1
"SpisGene95"	39	39	1	1	1	1	1	1
"SpisGene99"	16	16	1.0590525394834	1	0.00883338765219474	1	0.0478903407722174	1
"SpisGene100"	63	61	1	1	1	1	1	1
"SpisGene111"	30	28	0.957807827523923	1	0.0325987665534437	1	0.122047138832859	1
"SpisGene112"	8	8	1	1	1	1	1	1
"SpisGene114"	22	22	1.05335136485158	1	0.0918494514936318	1	0.259397457047	1
"SpisGene115"	20	20	1.02158472191306	1	0.00588575002176166	1	0.0355759218592834	1
"SpisGene116"	108	83	1	1	1	1	1	1
"SpisGene117"	61	58	1	1	1	1	1	1
"SpisGene118"	16	10	1.22053075222802	1	0.118965392120815	0.00230525785312473	0.313051322570186	0.0631114757093101
"SpisGene122"	158	158	1	1	1	1	1	1
"SpisGene123"	72	65	1	1	1	1	1	1
"SpisGene124"	44	44	1	1	1	1	1	1
"SpisGene125"	171	147	1	1	1	1	1	1
"SpisGene127"	93	90	1	1	1	1	1	1
"SpisGene128"	115	112	1	1	1	1	1	1
"SpisGene130"	22	22	1	1	1	1	1	1
"SpisGene131"	44	43	1.0258616070525	1	0.00628245504237763	1	0.0373109146728986	1
"SpisGene132"	32	31	1	1	1	1	1	1
"SpisGene134"	42	42	1	1	1	1	1	1
"SpisGene136"	52	52	1	1	1	1	1	1
"SpisGene137"	26	26	1.10454937205093	1	8.66168061958486e-05	1	0.00159185314471376	1
"SpisGene139"	22	19	1	1	1	1	1	1
"SpisGene140"	18	17	0.911010822557444	1	0.0853900245210219	1	0.246301991603843	1
"SpisGene141"	134	132	1	1	1	1	1	1
"SpisGene142"	120	112	1	1	1	1	1	1
"SpisGene143"	30	30	1.11991307503157	1	0.000961870191171166	1	0.00979728442882249	1
"SpisGene144"	185	182	1	1	1	1	1	1
"SpisGene147"	90	90	1	1	1	1	1	1
"SpisGene148"	175	164	1	1	1	1	1	1
"SpisGene153"	39	17	1.24884145174602	1	0.00470429931535664	1	0.0305657518391748	1
"SpisGene159"	36	33	1	1	1	1	1	1
"SpisGene160"	30	30	0.944400913704271	1	0.0043689601896543	1	0.0288883155261032	1
