"gene"	"ncpgs_orig"	"ncpgs"	"treatment.ratio"	"converged"	"p.value.treatment"	"p.value.inter"	"adj.p.value.treatment"	"adj.p.value.inter"
"SpisGene21734"	52	7	1	1	1	1	1	1
"SpisGene21735"	19	18	1	1	1	1	1	1
"SpisGene21736"	33	16	1.04764280870242	1	0.0229055674412046	0.000848948517844986	0.114716308832249	0.0321757302979125
"SpisGene21744"	86	75	1	1	1	1	1	1
"SpisGene21745"	8	7	1	1	1	1	1	1
"SpisGene21746"	34	22	1.08528106782245	1	0.00763566918252375	1	0.0536873893538694	1
"SpisGene21747"	72	69	1	1	1	1	1	1
"SpisGene21750"	17	9	0.806770656485267	1	0.0180943765155161	1	0.097778547313094	1
"SpisGene21754"	17	14	1	1	1	1	1	1
"SpisGene21755"	6	6	1	1	1	1	1	1
"SpisGene21756"	34	34	1	1	1	1	1	1
"SpisGene21769"	8	8	1	1	1	1	1	1
"SpisGene21770"	15	15	0.993344431629305	1	0.65922758485973	0.00121179197434669	1	0.0419090680627962
"SpisGene21771"	48	45	1	1	1	1	1	1
"SpisGene21772"	48	48	1	1	1	1	1	1
"SpisGene21773"	44	43	0.946711432131899	1	0.0572296357995249	1	0.212679778171035	1
"SpisGene21774"	138	133	1	1	1	1	1	1
"SpisGene21775"	72	45	1	1	1	1	1	1
"SpisGene21776"	64	64	0.97905164792941	1	0.758828795479372	1	1	1
"SpisGene21777"	86	86	0.981219205000102	1	0.0893664474638582	1	0.288259537768149	1
"SpisGene21778"	178	177	1	1	1	1	1	1
"SpisGene21779"	58	56	0.96750469741843	1	0.0418419849578671	1	0.171652868563949	1
"SpisGene21780"	43	43	0.9651439544598	1	0.481569422283365	1	1	1
"SpisGene21781"	104	103	1	1	1	1	1	1
"SpisGene21782"	85	84	1	1	1	1	1	1
"SpisGene21785"	15	9	1.24990449513932	1	0.0593669241881094	1	0.217556154265667	1
"SpisGene21790"	179	176	1.01795953239769	1	0.018563452834733	1	0.0994393671452034	1
"SpisGene21794"	22	20	0.857037931931877	1	0.0240725671381254	1	0.118510276030976	1
"SpisGene21798"	23	10	1	1	1	1	1	1
"SpisGene21800"	17	11	1	1	1	1	1	1
"SpisGene21806"	141	141	1	1	1	1	1	1
"SpisGene21807"	142	142	1.01365084317351	1	0.00942909706934961	1	0.0627491384645172	1
"SpisGene21808"	26	26	0.971229850728462	1	0.0967685062823919	1	0.305545523260266	1
"SpisGene21815"	55	24	0.808583539490239	1	9.95872935412458e-05	1	0.00238556834982893	1
"SpisGene21825"	7	5	1.04316451189187	1	0.995170252984167	0.0481778275851042	1	0.958964060943073
"SpisGene21826"	147	84	0.765590380524406	1	1.00346291466313e-09	1.23005159858031e-08	1.91471104768566e-07	3.32023927841178e-06
"SpisGene21828"	40	16	1	1	1	1	1	1
