"gene"	"ncpgs_orig"	"ncpgs"	"treatment.ratio"	"converged"	"p.value.treatment"	"p.value.inter"	"adj.p.value.treatment"	"adj.p.value.inter"
"SpisGene1"	64	63	1	1	1	1	1	1
"SpisGene2"	27	26	1.08412620480342	1	0.392810387808383	1	0.986857805726345	1
"SpisGene3"	111	110	1	1	1	1	1	1
"SpisGene4"	156	155	1.02596435610552	1	0.00550746560203768	1	0.0464742449310433	1
"SpisGene5"	181	170	0.980142204238486	1	0.295329661037385	1	0.772395264780961	1
"SpisGene6"	39	39	0.947207775459258	1	0.0391585610543709	1	0.177924773715385	1
"SpisGene8"	96	87	1.03472745050466	1	0.0694896343823853	1	0.260238090867004	1
"SpisGene12"	30	29	0.914027399402799	1	0.0130586943472406	1	0.0839784065190135	1
"SpisGene14"	126	124	1.03952026407811	1	1.74127026526773e-05	1	0.000668688262579023	1
"SpisGene15"	48	46	0.945529997903493	1	0.19070275011689	1	0.53442281446735	1
"SpisGene19"	54	54	1	1	1	1	1	1
"SpisGene20"	181	171	0.978133192436446	1	0.231926623937315	1	0.630802456713353	1
"SpisGene21"	52	52	1.02360513632836	1	0.0288845443537763	1	0.144278610436173	1
"SpisGene22"	205	202	1.02391762621631	1	0.148160407156455	1	0.440752090254347	1
"SpisGene23"	95	92	1.03256691108116	1	7.20572534443043e-05	1	0.00205930836308651	1
"SpisGene24"	109	109	1	1	1	1	1	1
"SpisGene25"	8	8	1	1	1	1	1	1
"SpisGene26"	25	24	1	1	1	1	1	1
"SpisGene27"	59	59	1.03327157601451	1	0.223203503673321	1	0.611984402162075	1
"SpisGene28"	155	149	1	1	1	1	1	1
"SpisGene29"	78	77	1	1	1	1	1	1
"SpisGene30"	127	119	1	1	1	1	1	1
"SpisGene31"	451	449	1.01692820655474	1	7.02718228021883e-07	1	5.57256128614419e-05	1
"SpisGene33"	60	60	0.96820395726653	1	0.0217374095129167	1	0.119037680992035	1
"SpisGene34"	63	59	1.05163600541506	1	0.18795003546953	1	0.528127628329541	1
"SpisGene40"	121	117	1.02816045717291	1	0.00256909866013764	1	0.027311493141963	1
"SpisGene43"	146	144	1	1	1	1	1	1
"SpisGene44"	106	102	1.03007201633518	1	0.0352491304328503	1	0.165780656781209	1
"SpisGene48"	40	30	0.921707374234845	1	0.00136598419568305	1	0.0174487100575974	1
"SpisGene50"	60	57	1	1	1	1	1	1
"SpisGene51"	59	58	1	1	1	1	1	1
"SpisGene52"	278	278	1	1	1	1	1	1
"SpisGene53"	30	29	1	1	1	1	1	1
"SpisGene54"	269	258	1	1	1	1	1	1
"SpisGene55"	25	23	0.924289534258934	1	0.0469442947567185	1	0.20044468713583	1
"SpisGene56"	140	138	1	1	1	1	1	1
"SpisGene59"	34	31	0.940653798306356	1	0.00304529092181206	3.89089890997235e-06	0.0304711981856764	0.000459757449480254
"SpisGene61"	55	52	1.06471382184212	1	5.28711996673824e-06	1	0.000269961324597945	1
"SpisGene63"	115	114	1	1	1	1	1	1
"SpisGene64"	76	75	1	1	1	1	1	1
"SpisGene65"	83	82	1	1	1	1	1	1
"SpisGene67"	16	16	1	1	1	1	1	1
"SpisGene68"	329	328	1	1	1	1	1	1
"SpisGene69"	18	18	1	1	1	1	1	1
"SpisGene72"	39	39	1	1	1	1	1	1
"SpisGene74"	14	11	1.02540151911409	1	0.774547535257326	0.0214873415469708	1	0.578009487613514
"SpisGene79"	75	75	0.97813472662475	1	0.163098510589194	1	0.472614675667032	1
"SpisGene80"	23	22	1	1	1	1	1	1
"SpisGene81"	123	118	1.01688805959383	1	0.254866719600921	1	0.682263361766641	1
"SpisGene83"	63	57	1.04350421202691	1	0.00810122281302562	1	0.0609055122050849	1
"SpisGene85"	73	66	0.905144978280909	1	0.000174841888402923	1	0.00406820925568743	1
"SpisGene86"	80	80	1	1	1	1	1	1
