Spis15904 SpisGene15904
Spis20534 SpisGene20534
Spis9213 SpisGene9213
Spis7632 SpisGene7632
Spis14824 SpisGene14824
Spis13853 SpisGene13853
Spis23244 SpisGene23244
Spis12394 SpisGene12394
Spis786 SpisGene786
Spis12408 SpisGene12408
Spis11020 SpisGene11020
Spis14992 SpisGene14992
Spis11366 SpisGene11366
Spis1267 SpisGene1267
Spis18707 SpisGene18707
Spis2596 SpisGene2596
Spis14096 SpisGene14096
Spis21165 SpisGene21165
Spis6609 SpisGene6609
Spis3857 SpisGene3857
Spis6736 SpisGene6736
Spis9943 SpisGene9943
Spis17156 SpisGene17156
Spis23236 SpisGene23236
Spis15099.t1 SpisGene15099
Spis13990 SpisGene13990
Spis838 SpisGene838
Spis383.t1 SpisGene383
Spis6963 SpisGene6963
Spis12029.t1 SpisGene12029
Spis12910 SpisGene12910
Spis18283 SpisGene18283
Spis23634 SpisGene23634
Spis18610.t1 SpisGene18610
Spis3554 SpisGene3554
Spis21188 SpisGene21188
Spis3791 SpisGene3791
Spis19838 SpisGene19838
Spis5450 SpisGene5450
Spis1606 SpisGene1606
Spis22499 SpisGene22499
Spis6426 SpisGene6426
Spis5381 SpisGene5381
Spis10560 SpisGene10560
Spis19861 SpisGene19861
Spis8176 SpisGene8176
Spis4482 SpisGene4482
Spis9396 SpisGene9396
Spis20630 SpisGene20630
Spis15999 SpisGene15999
Spis8925 SpisGene8925
Spis7126 SpisGene7126
Spis9732 SpisGene9732
Spis749.t1 SpisGene749
Spis7740 SpisGene7740
Spis9449 SpisGene9449
Spis12536 SpisGene12536
Spis10524 SpisGene10524
Spis2437 SpisGene2437
Spis6640 SpisGene6640
Spis16976 SpisGene16976
Spis11854 SpisGene11854
Spis502 SpisGene502
Spis13590 SpisGene13590
Spis19002 SpisGene19002
Spis15588 SpisGene15588
Spis4626 SpisGene4626
Spis6717 SpisGene6717
Spis8205 SpisGene8205
Spis9162 SpisGene9162
Spis11331 SpisGene11331
Spis15718 SpisGene15718
Spis5329.t1 SpisGene5329
Spis17105 SpisGene17105
Spis6033 SpisGene6033
Spis11606 SpisGene11606
Spis14784 SpisGene14784
Spis4227 SpisGene4227
Spis7181 SpisGene7181
Spis13115.t1 SpisGene13115
Spis947 SpisGene947
Spis18901 SpisGene18901
Spis7272 SpisGene7272
Spis12832 SpisGene12832
Spis2745 SpisGene2745
Spis23089 SpisGene23089
Spis2096 SpisGene2096
Spis14873 SpisGene14873
Spis1230 SpisGene1230
Spis21452 SpisGene21452
Spis5884 SpisGene5884
Spis8295 SpisGene8295
Spis16054 SpisGene16054
Spis9617 SpisGene9617
Spis22983 SpisGene22983
Spis6777 SpisGene6777
Spis16919 SpisGene16919
Spis10070 SpisGene10070
Spis20161 SpisGene20161
Spis25287 SpisGene25287
Spis10020 SpisGene10020
Spis13619 SpisGene13619
Spis9418 SpisGene9418
Spis8296 SpisGene8296
Spis12192 SpisGene12192
Spis8583 SpisGene8583
Spis1446 SpisGene1446
Spis14377 SpisGene14377
Spis9948 SpisGene9948
Spis23963 SpisGene23963
Spis8394 SpisGene8394
Spis6880 SpisGene6880
Spis20094 SpisGene20094
Spis13482 SpisGene13482
Spis15103 SpisGene15103
Spis8496 SpisGene8496
Spis23291 SpisGene23291
Spis11757 SpisGene11757
Spis8191 SpisGene8191
Spis15125 SpisGene15125
Spis6077 SpisGene6077
Spis15361 SpisGene15361
Spis1623 SpisGene1623
Spis12027 SpisGene12027
